Inference for Bugs model at "../Mi model JAGS simp2.txt", fit using jags,
 3 chains, each with 4e+05 iterations (first 2e+05 discarded), n.thin = 300
 n.sims = 1998 iterations saved
          mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
e.obs[53]   0.714   0.210   0.281  0.582  0.728  0.851  1.109 1.001  2000
e.obs[54]   0.146   0.241  -0.347 -0.015  0.154  0.305  0.610 1.001  2000
e.obs[55]   0.529   0.167   0.197  0.416  0.532  0.644  0.855 1.000  2000
e.obs[56]   0.855   0.131   0.595  0.768  0.855  0.944  1.120 1.001  2000
e.obs[57]   0.230   0.092   0.047  0.172  0.229  0.291  0.408 1.001  2000
e.obs[58]  -0.503   0.138  -0.778 -0.595 -0.498 -0.417 -0.234 1.001  2000
e.obs[59]   0.180   0.136  -0.096  0.095  0.185  0.271  0.443 1.000  2000
e.obs[60]  -0.825   0.133  -1.083 -0.913 -0.823 -0.734 -0.559 1.001  2000
e.obs[61]   0.131   0.130  -0.120  0.044  0.131  0.218  0.389 1.001  2000
e.obs[62]  -0.225   0.163  -0.543 -0.336 -0.223 -0.117  0.099 1.001  2000
e.obs[63]  -0.097   0.183  -0.458 -0.218 -0.093  0.027  0.264 1.001  2000
e.obs[64]   0.261   0.191  -0.112  0.135  0.261  0.385  0.634 1.001  2000
e.obs[65]  -0.026   0.110  -0.233 -0.099 -0.027  0.048  0.192 1.000  2000
e.obs[66]  -0.142   0.134  -0.404 -0.229 -0.140 -0.051  0.121 1.001  2000
e.obs[67]   0.209   0.191  -0.154  0.082  0.203  0.334  0.604 1.001  2000
e.obs[68]   0.076   0.108  -0.133  0.004  0.079  0.146  0.294 1.000  2000
mu[1]       1.628   0.093   1.447  1.567  1.626  1.689  1.808 1.001  2000
mu[2]       1.674   0.086   1.511  1.616  1.673  1.728  1.856 1.002  1600
mu[3]       1.681   0.074   1.539  1.632  1.684  1.729  1.823 1.003   890
mu[4]       1.751   0.099   1.543  1.688  1.752  1.819  1.935 1.002  1300
mu[5]       1.900   0.099   1.697  1.836  1.901  1.968  2.088 1.001  2000
mu[6]       1.733   0.105   1.529  1.663  1.731  1.802  1.944 1.003   670
mu[7]       1.693   0.084   1.529  1.638  1.694  1.746  1.855 1.003   700
mu[8]       1.455   0.135   1.187  1.368  1.454  1.545  1.712 1.003   870
mu[9]       1.715   0.084   1.551  1.659  1.717  1.770  1.880 1.003   750
mu[10]      1.448   0.114   1.219  1.378  1.448  1.519  1.666 1.002  1300
mu[11]      1.685   0.075   1.537  1.636  1.686  1.735  1.833 1.001  2000
mu[12]      2.078   0.125   1.836  1.999  2.077  2.159  2.315 1.000  2000
mu[13]      1.867   0.096   1.677  1.803  1.865  1.930  2.068 1.003   680
mu[14]      1.958   0.142   1.666  1.868  1.961  2.056  2.224 1.001  2000
mu[15]      1.759   0.161   1.432  1.656  1.759  1.865  2.075 1.004   600
mu[16]      1.738   0.112   1.529  1.663  1.733  1.807  1.975 1.000  2000
mu[17]      1.891   0.113   1.659  1.817  1.889  1.966  2.123 1.004   480
mu[18]      1.915   0.116   1.673  1.838  1.913  1.991  2.153 1.005   450
mu[19]      1.916   0.119   1.686  1.837  1.911  1.996  2.162 1.004   510
mu[20]      1.949   0.109   1.731  1.876  1.946  2.020  2.160 1.004   480
mu[21]      2.123   0.158   1.819  2.015  2.121  2.229  2.446 1.001  2000
mu[22]      2.165   0.188   1.795  2.041  2.168  2.287  2.542 1.001  2000
mu[23]      2.073   0.130   1.823  1.983  2.074  2.161  2.338 1.002  1400
mu[24]      1.992   0.142   1.717  1.894  1.993  2.085  2.268 1.002  1100
mu[25]      2.168   0.112   1.956  2.091  2.163  2.239  2.404 1.002  2000
mu[26]      1.880   0.118   1.648  1.803  1.879  1.949  2.136 1.002  2000
mu[27]      1.541   0.068   1.406  1.497  1.542  1.584  1.670 1.001  2000
mu[28]      1.650   0.072   1.508  1.603  1.650  1.698  1.783 1.001  2000
mu[29]      1.827   0.105   1.618  1.758  1.828  1.897  2.027 1.002  2000
mu[30]      1.945   0.117   1.722  1.865  1.946  2.024  2.169 1.002  1800
mu[31]      1.502   0.084   1.337  1.447  1.503  1.556  1.666 1.001  2000
mu[32]      1.747   0.115   1.520  1.672  1.746  1.821  1.967 1.001  2000
mu[33]      1.745   0.099   1.550  1.681  1.745  1.812  1.939 1.002  2000
mu[34]      1.756   0.116   1.526  1.681  1.756  1.830  1.976 1.001  2000
mu[35]      1.726   0.109   1.511  1.655  1.726  1.797  1.932 1.001  2000
mu[36]      1.635   0.077   1.485  1.585  1.635  1.685  1.786 1.001  2000
mu[37]      1.530   0.070   1.395  1.483  1.530  1.576  1.666 1.001  2000
mu[38]      1.615   0.077   1.465  1.564  1.616  1.669  1.760 1.001  2000
mu[39]      1.540   0.078   1.382  1.491  1.540  1.590  1.688 1.001  2000
mu[40]      1.415   0.104   1.214  1.346  1.414  1.485  1.616 1.000  2000
mu[41]      1.343   0.130   1.093  1.262  1.345  1.431  1.593 1.002  2000
mu[42]      1.595   0.055   1.488  1.558  1.595  1.632  1.703 1.001  2000
mu[43]      2.074   0.046   1.963  2.056  2.080  2.100  2.151 1.007   780
mu[44]      1.692   0.029   1.646  1.681  1.690  1.699  1.748 1.009  2000
mu[45]      1.807   0.025   1.759  1.799  1.809  1.818  1.849 1.008  2000
mu[46]      2.075   0.051   1.967  2.043  2.077  2.109  2.171 1.000  2000
mu[47]      2.499   0.093   2.299  2.441  2.500  2.557  2.682 1.000  2000
mu[48]      1.986   0.144   1.693  1.893  1.987  2.082  2.265 1.000  2000
mu[49]      2.236   0.185   1.855  2.123  2.240  2.359  2.587 1.001  2000
mu[50]      1.700   0.071   1.562  1.653  1.700  1.748  1.842 1.001  2000
mu[51]      1.880   0.064   1.759  1.836  1.880  1.923  2.005 1.001  2000
mu[52]      1.816   0.065   1.694  1.771  1.816  1.861  1.942 1.000  2000
mu[53]      2.080   0.130   1.835  1.995  2.072  2.162  2.349 1.001  2000
mu[54]      1.753   0.150   1.465  1.655  1.749  1.854  2.060 1.001  2000
mu[55]      1.529   0.104   1.327  1.458  1.528  1.600  1.736 1.000  2000
mu[56]      1.768   0.082   1.603  1.712  1.768  1.822  1.930 1.001  2000
mu[57]      1.929   0.057   1.818  1.891  1.929  1.965  2.042 1.001  2000
mu[58]      2.173   0.086   2.006  2.120  2.170  2.230  2.344 1.001  2000
mu[59]      2.408   0.084   2.245  2.352  2.405  2.461  2.580 1.000  2000
mu[60]      1.712   0.082   1.547  1.656  1.711  1.768  1.873 1.001  2000
mu[61]      1.732   0.081   1.571  1.678  1.732  1.786  1.888 1.001  2000
mu[62]      1.618   0.101   1.417  1.551  1.617  1.687  1.816 1.001  2000
mu[63]      1.572   0.114   1.348  1.495  1.570  1.648  1.797 1.001  2000
mu[64]      1.587   0.119   1.355  1.509  1.587  1.665  1.819 1.001  2000
mu[65]      1.783   0.068   1.648  1.737  1.784  1.829  1.912 1.000  2000
mu[66]      1.692   0.083   1.528  1.635  1.691  1.746  1.855 1.001  2000
mu[67]      2.131   0.119   1.885  2.054  2.135  2.210  2.357 1.001  2000
mu[68]      1.695   0.067   1.560  1.652  1.693  1.740  1.825 1.000  2000
p.val[1]    0.412   0.809   0.000  0.000  0.000  0.000  2.000 1.002  1500
p.val[2]    1.928   0.373   0.000  2.000  2.000  2.000  2.000 1.003  2000
p.val[3]    1.095   0.996   0.000  0.000  2.000  2.000  2.000 1.000  2000
p.val[4]    0.650   0.937   0.000  0.000  0.000  2.000  2.000 1.002  1100
p.val[5]    1.987   0.161   2.000  2.000  2.000  2.000  2.000 1.095   700
p.val[6]    0.431   0.823   0.000  0.000  0.000  0.000  2.000 1.001  2000
p.val[7]    0.769   0.973   0.000  0.000  0.000  2.000  2.000 1.002  1000
p.val[8]    0.870   0.992   0.000  0.000  0.000  2.000  2.000 1.001  2000
p.val[9]    0.008   0.126   0.000  0.000  0.000  0.000  0.000 1.106  1000
p.val[10]   1.903   0.430   0.000  2.000  2.000  2.000  2.000 1.000  2000
p.val[11]   0.956   0.999   0.000  0.000  0.000  2.000  2.000 1.001  2000
p.val[12]   0.483   0.856   0.000  0.000  0.000  0.000  2.000 1.000  2000
tau        15.825   3.214  10.018 13.560 15.548 17.904 22.801 1.000  2000
deviance    6.487   7.652  -5.865  1.028  5.637 11.002 24.590 1.001  2000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 29.3 and DIC = 35.8
DIC is an estimate of expected predictive error (lower deviance is better).
