Inference for Bugs model at "../Mi model JAGS.txt", fit using jags,
 3 chains, each with 5e+05 iterations (first 250000 discarded), n.thin = 300
 n.sims = 2499 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
e.obs[51]  -0.549   0.109 -0.762 -0.623 -0.549 -0.477 -0.335 1.001  2500
e.obs[52]   0.032   0.109 -0.186 -0.042  0.031  0.103  0.247 1.001  2500
e.obs[53]   0.709   0.224  0.237  0.573  0.719  0.848  1.140 1.002  1900
e.obs[54]   0.141   0.247 -0.346 -0.012  0.145  0.302  0.619 1.001  2500
e.obs[55]   0.539   0.166  0.213  0.426  0.543  0.651  0.856 1.001  2500
e.obs[56]   0.865   0.140  0.595  0.766  0.864  0.958  1.141 1.001  2500
e.obs[57]   0.235   0.096  0.047  0.175  0.232  0.300  0.425 1.000  2500
e.obs[58]  -0.506   0.141 -0.783 -0.596 -0.507 -0.416 -0.225 1.001  2500
e.obs[59]   0.180   0.142 -0.101  0.088  0.181  0.273  0.462 1.002  2500
e.obs[60]  -0.811   0.144 -1.088 -0.910 -0.811 -0.711 -0.532 1.001  2500
e.obs[61]   0.144   0.140 -0.124  0.048  0.142  0.239  0.416 1.001  2500
e.obs[62]  -0.205   0.179 -0.570 -0.323 -0.200 -0.085  0.142 1.002  1400
e.obs[63]  -0.074   0.201 -0.482 -0.207 -0.072  0.061  0.316 1.002  1300
e.obs[64]   0.284   0.211 -0.145  0.144  0.286  0.426  0.696 1.002  1300
e.obs[65]  -0.020   0.116 -0.241 -0.098 -0.021  0.059  0.209 1.000  2500
e.obs[66]  -0.127   0.146 -0.411 -0.226 -0.125 -0.028  0.157 1.001  2500
e.obs[67]   0.201   0.200 -0.194  0.066  0.202  0.335  0.596 1.001  2500
e.obs[68]   0.084   0.112 -0.138  0.010  0.081  0.161  0.298 1.001  2500
mu[1]       1.624   0.111  1.407  1.551  1.625  1.699  1.838 1.002   980
mu[2]       1.684   0.101  1.501  1.613  1.682  1.749  1.889 1.000  2500
mu[3]       1.680   0.076  1.532  1.629  1.680  1.731  1.831 1.001  2500
mu[4]       1.776   0.136  1.509  1.688  1.778  1.865  2.045 1.009   250
mu[5]       1.896   0.108  1.696  1.823  1.894  1.970  2.119 1.002  1400
mu[6]       1.708   0.158  1.396  1.605  1.704  1.811  2.025 1.002  1300
mu[7]       1.687   0.091  1.507  1.627  1.687  1.747  1.864 1.000  2500
mu[8]       1.463   0.165  1.132  1.357  1.464  1.569  1.788 1.002   980
mu[9]       1.704   0.101  1.502  1.637  1.704  1.770  1.903 1.001  2500
mu[10]      1.445   0.131  1.179  1.364  1.446  1.524  1.707 1.002  1900
mu[11]      1.681   0.083  1.515  1.627  1.681  1.737  1.841 1.001  2200
mu[12]      2.097   0.173  1.752  1.983  2.099  2.208  2.435 1.001  2500
mu[13]      1.861   0.133  1.605  1.774  1.857  1.943  2.139 1.001  2500
mu[14]      1.944   0.164  1.636  1.833  1.939  2.050  2.278 1.001  2500
mu[15]      1.773   0.207  1.365  1.640  1.769  1.910  2.187 1.006   350
mu[16]      1.757   0.144  1.482  1.664  1.756  1.848  2.056 1.001  2500
mu[17]      1.893   0.121  1.661  1.811  1.890  1.973  2.134 1.006   390
mu[18]      1.908   0.121  1.682  1.826  1.902  1.991  2.145 1.003   860
mu[19]      1.889   0.155  1.587  1.783  1.891  1.991  2.197 1.001  2500
mu[20]      1.933   0.123  1.700  1.848  1.932  2.015  2.171 1.001  2500
mu[21]      2.102   0.177  1.759  1.984  2.099  2.215  2.462 1.001  2500
mu[22]      2.171   0.194  1.793  2.041  2.174  2.295  2.549 1.003   680
mu[23]      2.056   0.144  1.773  1.960  2.052  2.150  2.340 1.001  2500
mu[24]      2.028   0.199  1.638  1.893  2.032  2.162  2.425 1.012   200
mu[25]      2.152   0.127  1.909  2.068  2.150  2.234  2.410 1.004   530
mu[26]      1.881   0.129  1.627  1.801  1.878  1.960  2.154 1.001  2500
mu[27]      1.537   0.069  1.401  1.490  1.539  1.585  1.669 1.001  2500
mu[28]      1.650   0.073  1.505  1.601  1.649  1.699  1.791 1.001  2500
mu[29]      1.833   0.108  1.627  1.763  1.833  1.906  2.047 1.001  2500
mu[30]      1.953   0.127  1.702  1.869  1.954  2.032  2.204 1.002  1700
mu[31]      1.496   0.088  1.323  1.438  1.498  1.555  1.664 1.001  2100
mu[32]      1.751   0.115  1.523  1.672  1.752  1.829  1.979 1.001  2500
mu[33]      1.750   0.102  1.547  1.682  1.751  1.818  1.950 1.001  2500
mu[34]      1.761   0.116  1.529  1.681  1.762  1.838  1.988 1.001  2500
mu[35]      1.729   0.109  1.512  1.655  1.731  1.802  1.946 1.001  2500
mu[36]      1.635   0.077  1.484  1.584  1.636  1.689  1.786 1.001  2500
mu[37]      1.526   0.072  1.386  1.476  1.528  1.576  1.666 1.001  2200
mu[38]      1.615   0.078  1.462  1.564  1.614  1.669  1.767 1.001  2500
mu[39]      1.536   0.079  1.385  1.483  1.535  1.589  1.685 1.001  2500
mu[40]      1.406   0.112  1.186  1.331  1.407  1.479  1.621 1.002  1100
mu[41]      1.347   0.136  1.082  1.259  1.350  1.432  1.624 1.002  1200
mu[42]      1.592   0.057  1.478  1.554  1.592  1.633  1.700 1.001  2400
mu[43]      2.074   0.050  1.958  2.050  2.079  2.103  2.162 1.000  2500
mu[44]      1.694   0.035  1.643  1.681  1.690  1.702  1.771 1.005  2500
mu[45]      1.808   0.027  1.755  1.797  1.809  1.819  1.859 1.005  2500
mu[46]      2.076   0.055  1.966  2.040  2.078  2.112  2.187 1.002  1200
mu[47]      2.498   0.101  2.292  2.435  2.497  2.559  2.700 1.003   790
mu[48]      1.989   0.149  1.683  1.888  1.992  2.089  2.274 1.001  2500
mu[49]      2.246   0.192  1.869  2.115  2.247  2.377  2.613 1.001  2500
mu[50]      1.693   0.076  1.549  1.642  1.694  1.744  1.841 1.001  2500
mu[51]      1.879   0.067  1.746  1.834  1.879  1.925  2.011 1.001  2500
mu[52]      1.814   0.067  1.680  1.770  1.815  1.860  1.950 1.001  2500
mu[53]      2.084   0.139  1.815  1.997  2.077  2.168  2.376 1.002  1700
mu[54]      1.757   0.153  1.459  1.657  1.754  1.852  2.059 1.001  2500
mu[55]      1.523   0.103  1.326  1.454  1.521  1.594  1.726 1.001  2500
mu[56]      1.762   0.087  1.590  1.704  1.763  1.823  1.930 1.001  2500
mu[57]      1.926   0.060  1.807  1.885  1.927  1.963  2.043 1.000  2500
mu[58]      2.175   0.088  2.000  2.119  2.175  2.231  2.347 1.001  2500
mu[59]      2.408   0.088  2.233  2.350  2.407  2.465  2.583 1.002  2300
mu[60]      1.704   0.089  1.530  1.642  1.704  1.766  1.876 1.001  2500
mu[61]      1.724   0.087  1.555  1.665  1.725  1.784  1.891 1.001  2500
mu[62]      1.606   0.111  1.390  1.531  1.602  1.679  1.833 1.002  1500
mu[63]      1.558   0.125  1.316  1.474  1.557  1.641  1.812 1.002  1300
mu[64]      1.572   0.131  1.316  1.484  1.572  1.660  1.839 1.002  1300
mu[65]      1.779   0.072  1.637  1.730  1.780  1.828  1.917 1.000  2500
mu[66]      1.683   0.091  1.506  1.621  1.682  1.744  1.859 1.001  2500
mu[67]      2.136   0.125  1.891  2.053  2.136  2.220  2.382 1.001  2500
mu[68]      1.690   0.070  1.558  1.642  1.692  1.736  1.828 1.001  2500
p.val[1]    0.061   0.344  0.000  0.000  0.000  0.000  2.000 1.000  2500
p.val[2]    1.902   0.433  0.000  2.000  2.000  2.000  2.000 1.031   320
p.val[3]    0.880   0.993  0.000  0.000  0.000  2.000  2.000 1.007   330
p.val[4]    0.879   0.993  0.000  0.000  0.000  2.000  2.000 1.006   350
p.val[5]    1.972   0.235  2.000  2.000  2.000  2.000  2.000 1.007  2500
p.val[6]    0.714   0.958  0.000  0.000  0.000  2.000  2.000 1.002  1300
p.val[7]    0.707   0.956  0.000  0.000  0.000  2.000  2.000 1.010   220
p.val[8]    0.820   0.984  0.000  0.000  0.000  2.000  2.000 1.000  2500
p.val[9]    0.678   0.947  0.000  0.000  0.000  2.000  2.000 1.003   670
p.val[10]   1.439   0.899  0.000  0.000  2.000  2.000  2.000 1.001  2500
p.val[11]   0.844   0.988  0.000  0.000  0.000  2.000  2.000 1.000  2500
p.val[12]   0.801   0.980  0.000  0.000  0.000  2.000  2.000 1.003   780
p.val[13]   0.902   0.995  0.000  0.000  0.000  2.000  2.000 1.001  2000
p.val[14]   0.640   0.933  0.000  0.000  0.000  2.000  2.000 1.002  1200
tau        15.003   3.198  9.279 12.768 14.762 17.013 21.973 1.001  2500
deviance   10.206   8.655 -3.931  4.100  9.272 15.515 28.955 1.001  2000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 37.4 and DIC = 47.6
DIC is an estimate of expected predictive error (lower deviance is better).
