ID,Age,Sex,Latitude,Longitude,Location,mass,SVL,Season,fveg10,frock10,fveg20,frock20,fveg30,frock30,fveg40,frock40,fveg50,frock50,fveg60,frock60,fveg70,frock70,fveg80,frock80,fveg90,frock90,fveg100,frock100,Mi
GS55,Adult,Male,31.351742,35.354377,Tse'elim River,1.7,41.15,Summer,0,0.00252662,0,0.009942958,0.002024535,0.011876604,0.002068981,0.019607401,0.001948361,0.028334223,0.002666059,0.046470604,0.003070579,0.069126689,0.002539863,0.077305151,0.00209808,0.080935316,0.001970038,0.081523857,2.042056844
GS57,Adult,Male,31.351149,35.358654,Tse'elim River,1.5,39.85,Summer,0.003517633,0.032560657,0.010665885,0.074751392,0.006875194,0.082071378,0.005310543,0.096395934,0.005560146,0.102528946,0.004056668,0.102584341,0.003164452,0.118515082,0.002673631,0.132386311,0.002912046,0.140139021,0.003646873,0.142761142,2.041072532
GS75,Adult,Male,31.382084,35.37005,Mishmar River,0.7,40.5,Winter,0.000811469,0.061671626,0.003360094,0.10186271,0.003377566,0.097368105,0.003647721,0.104814203,0.003247444,0.114010558,0.00260829,0.1248647,0.002139136,0.126245835,0.001850565,0.130158292,0.001575785,0.123655154,0.00148747,0.120838648,0.894486544
GS76,Adult,Male,31.380688,35.36793,Mishmar River,1.2,41.89,Winter,0,0.06598756,0,0.117530285,0.001773903,0.162828222,0.009403646,0.147459099,0.011207251,0.143987559,0.010586054,0.128122573,0.008238385,0.114199662,0.007224776,0.106442115,0.006555913,0.105146286,0.00607078,0.112626952,1.345043356
GS78,Adult,Male,31.382865,35.373306,Mishmar River,1.7,43.79,Winter,0.013268346,0.045130427,0.01316917,0.049406936,0.012920881,0.04258177,0.01937259,0.046818971,0.020984042,0.05056952,0.0198905,0.059235501,0.018544324,0.062333522,0.017082356,0.063100419,0.015512889,0.060088222,0.013671977,0.056931242,1.603914058
GS17,Adult,Male,31.381337,35.372089,Mishmar River,1.9,46.21,Winter,0.028661559,0.030914826,0.05761122,0.059640578,0.044720173,0.071810856,0.03323956,0.079953095,0.02667879,0.07891423,0.019859037,0.074537788,0.019156249,0.07644827,0.018290139,0.075176037,0.017301593,0.076576476,0.015184002,0.079848385,1.454629891
GS18,Adult,Male,31.380037,35.371307,Mishmar River,2.6,51.81,Winter,0.007125462,0.244971588,0.006877424,0.172093443,0.011837582,0.166217286,0.02298047,0.148747237,0.021709404,0.145056483,0.025182353,0.141772888,0.026915282,0.141411538,0.031450849,0.143348443,0.033016094,0.148515072,0.031928856,0.153374327,1.27651635
GS20,Adult,Male,31.380407,35.378172,Mishmar River,2.2,43.55,Winter,0.112082958,0.160144274,0.060267052,0.177282569,0.054645685,0.141355117,0.05012544,0.113572939,0.047344473,0.094259559,0.050101601,0.086209532,0.057014887,0.080845494,0.063934593,0.079023624,0.070745025,0.075113899,0.070584203,0.073572643,2.120435334
GS42,Adult,Male,31.351872,35.364375,Tse'elim River,2.8,47.94,Winter,0,0.185425685,0.001533258,0.081668546,0.000962184,0.058603029,0.01431366,0.070119459,0.027649487,0.089666893,0.025655996,0.108114,0.021298843,0.115000865,0.019868334,0.119407318,0.01803393,0.109860642,0.020883058,0.104866309,1.858493048
GS43,Adult,Male,31.351674,35.364558,Tse'elim River,2.2,42.65,Winter,0.008835197,0,0.007262066,0.024898512,0.005211831,0.045683702,0.004927191,0.051774973,0.00627449,0.04899803,0.004961163,0.059842145,0.010134221,0.067200654,0.013884465,0.075847994,0.013568548,0.08912545,0.013040831,0.097259143,2.299583274
